Scrip,Open,High,Low,Close,Volume,Date
MEGCONMILK,40.4,40.4,40.4,40.4,5,2023-01-01
MEGHNACEM,63.0,63.0,63.0,63.0,1159,2023-01-31
MEGHNACEM,68.5,68.5,65.0,65.7,29,2023-01-01
MEGHNAINS,35.5,35.5,35.5,35.5,4285,2023-01-31
MEGHNAINS,42.4,42.4,42.4,42.4,81,2023-01-01
MEGHNALIFE,92.0,94.7,91.1,91.8,1400599,2023-01-31
MEGHNALIFE,64.4,66.0,64.4,65.2,152803,2023-01-01
MEGHNAPET,32.4,32.4,32.4,32.4,2,2023-01-31
MEGHNAPET,39.0,39.0,39.0,39.0,1,2023-01-01
MERCANBANK,13.6,13.7,13.6,13.7,940037,2023-01-31
MERCANBANK,13.6,13.6,13.6,13.6,82518,2023-01-01
MERCINS,33.2,33.2,33.0,33.1,850,2023-01-31
MERCINS,31.9,31.9,31.0,31.8,2513,2023-01-01
METROSPIN,46.9,46.9,42.1,42.6,1070082,2023-01-31
METROSPIN,42.5,44.1,42.5,43.3,11148,2023-01-01
MIDASFIN,11.1,11.1,11.1,11.1,23952,2023-01-31
MIDASFIN,12.8,12.8,12.8,12.8,1,2023-01-01
MIRACLEIND,28.1,28.1,28.1,28.1,7952,2023-01-31
MIRACLEIND,32.5,32.5,32.5,32.5,40,2023-01-01
MIRAKHTER,50.8,50.8,50.8,50.8,15520,2023-01-31
MIRAKHTER,50.8,50.8,50.8,50.8,494,2023-01-01
MITHUNKNIT,16.5,16.5,16.5,16.5,1,2023-01-31
MITHUNKNIT,18.3,18.3,18.3,18.3,1,2023-01-01
MJLBD,86.7,86.7,86.7,86.7,6414,2023-01-31
MJLBD,86.7,86.7,86.7,86.7,483,2023-01-01
MONNOAGML,815.0,815.0,794.7,794.8,14798,2023-01-31
MONNOAGML,820.5,828.7,812.3,812.3,35107,2023-01-01
MONNOCERA,100.8,104.1,99.2,103.7,288163,2023-01-31
MONNOCERA,122.7,126.8,122.7,124.2,702056,2023-01-01
MONOSPOOL,262.0,264.5,255.1,259.4,76309,2023-01-31
MONOSPOOL,295.0,295.0,276.4,277.6,64423,2023-01-01
MPETROLEUM,198.6,198.6,198.6,198.6,16185,2023-01-31
MPETROLEUM,198.6,198.6,198.6,198.6,191,2023-01-01
MTB,16.7,16.7,16.6,16.6,2426,2023-01-31
MTB,16.7,16.9,16.7,16.8,2749,2023-01-01
NAVANACNG,22.4,23.0,22.4,22.4,261246,2023-01-31
NAVANACNG,24.0,24.0,24.0,24.0,12833,2023-01-01
NAVANAPHAR,77.6,79.3,77.1,77.6,413415,2023-01-31
NAVANAPHAR,78.5,79.6,75.0,75.6,395022,2023-01-01
NBL,8.3,8.3,8.3,8.3,1,2023-01-31
NBL,8.3,8.3,8.3,8.3,582,2023-01-01
NCCBANK,13.8,13.8,13.8,13.8,103845,2023-01-31
NCCBANK,13.8,13.8,13.8,13.8,838,2023-01-01
NCCBLMF1,7.2,7.2,7.2,7.2,2004,2023-01-31
NCCBLMF1,7.1,7.1,7.1,7.1,2076,2023-01-01
NEWLINE,45.1,45.1,45.1,45.1,37,2023-01-31
NEWLINE,45.1,45.1,45.1,45.1,47,2023-01-01
NFML,14.4,14.4,14.4,14.4,4301,2023-01-31
NFML,16.1,16.1,16.1,16.1,1,2023-01-01
NHFIL,47.4,48.2,47.1,47.3,678665,2023-01-31
NHFIL,42.3,42.3,41.8,41.8,59512,2023-01-01
NITOLINS,40.0,40.2,40.0,40.0,35844,2023-01-31
NITOLINS,41.3,41.3,41.3,41.3,1,2023-01-01
NORTHERN,202.5,202.5,202.5,202.5,202,2023-01-31
NORTHERN,248.0,249.0,239.5,239.5,7097,2023-01-01
NORTHRNINS,41.3,41.3,41.3,41.3,1970,2023-01-31
NORTHRNINS,39.3,39.3,39.3,39.3,10,2023-01-01
NPOLYMER,51.0,51.0,51.0,51.0,503,2023-01-31
NPOLYMER,51.0,51.0,51.0,51.0,1169,2023-01-01
NTC,598.2,604.0,598.2,600.3,2034,2023-01-31
NTC,605.1,611.0,605.1,610.0,5187,2023-01-01
NTLTUBES,79.5,79.5,79.5,79.5,706,2023-01-31
NTLTUBES,79.5,79.5,79.5,79.5,11,2023-01-01
OAL,9.9,9.9,9.9,9.9,172,2023-01-31
OAL,10.4,10.4,10.4,10.4,2421,2023-01-01
OLYMPIC,136.0,141.0,136.0,138.0,1869031,2023-01-31
OLYMPIC,124.7,124.7,121.0,121.2,61320,2023-01-01
ONEBANKLTD,11.7,11.7,11.6,11.6,582452,2023-01-31
ONEBANKLTD,10.2,10.3,10.1,10.2,180276,2023-01-01
ORIONINFU,350.0,359.8,336.0,337.9,163684,2023-01-31
ORIONINFU,566.0,566.0,495.0,530.8,338529,2023-01-01
ORIONPHARM,82.2,86.4,82.2,85.1,2226761,2023-01-31
ORIONPHARM,82.8,83.5,80.6,80.9,1087995,2023-01-01
PADMALIFE,48.2,48.8,48.2,48.2,260171,2023-01-31
PADMALIFE,45.5,45.5,44.8,44.8,111943,2023-01-01
PADMAOIL,209.2,209.2,209.2,209.2,2042,2023-01-31
PADMAOIL,209.2,209.2,209.2,209.2,425,2023-01-01
PAPERPROC,180.9,180.9,180.9,180.9,4364,2023-01-31
PAPERPROC,208.0,209.9,205.0,205.0,79758,2023-01-01
PARAMOUNT,43.5,43.5,43.5,43.5,17160,2023-01-31
PARAMOUNT,44.1,44.1,44.1,44.1,1975,2023-01-01
PDL,9.9,9.9,9.9,9.9,4385,2023-01-31
PDL,10.9,10.9,10.9,10.9,1712,2023-01-01
PENINSULA,27.4,27.4,27.4,27.4,1745,2023-01-31
PENINSULA,27.4,27.4,27.4,27.4,1253,2023-01-01
PEOPLESINS,37.0,37.0,37.0,37.0,7930,2023-01-31
PEOPLESINS,36.1,36.1,36.1,36.1,1970,2023-01-01
PHARMAID,790.7,790.7,790.7,790.7,22,2023-01-31
PHARMAID,790.7,790.7,790.7,790.7,76,2023-01-01
PHENIXINS,37.6,37.6,37.6,37.6,8264,2023-01-31
