"Date","Price","Open","High","Low","Vol.","Change %"
"02/05/2015","4,685.03","4,685.03","4,685.03","4,685.03","","0.36%"
"02/04/2015","4,668.05","4,668.05","4,668.05","4,668.05","","0.25%"
"02/03/2015","4,656.47","4,656.47","4,656.47","4,656.47","","0.82%"
"02/02/2015","4,618.43","4,618.43","4,618.43","4,618.43","","-0.78%"
"02/01/2015","4,654.95","4,654.95","4,654.95","4,654.95","","-1.46%"
"01/29/2015","4,724.04","4,724.04","4,724.04","4,724.04","","-0.50%"
"01/28/2015","4,747.63","4,747.63","4,747.63","4,747.63","","-0.20%"
"01/27/2015","4,757.10","4,757.10","4,757.10","4,757.10","","1.04%"
"01/26/2015","4,708.33","4,708.33","4,708.33","4,708.33","","-0.18%"
"01/25/2015","4,716.76","4,716.76","4,716.76","4,716.76","","-1.69%"
"01/22/2015","4,797.95","4,797.95","4,797.95","4,797.95","","0.31%"
"01/21/2015","4,783.21","4,783.21","4,783.21","4,783.21","","-1.52%"
"01/20/2015","4,856.94","4,856.94","4,856.94","4,856.94","","-0.21%"
"01/19/2015","4,867.08","4,867.08","4,867.08","4,867.08","","-1.02%"
"01/18/2015","4,917.37","4,917.37","4,917.37","4,917.37","","-0.78%"
"01/15/2015","4,956.09","4,956.09","4,956.09","4,956.09","","0.09%"
"01/14/2015","4,951.68","4,951.68","4,951.68","4,951.68","","-0.36%"
"01/13/2015","4,969.73","4,969.73","4,969.73","4,969.73","","0.26%"
"01/12/2015","4,956.92","4,956.92","4,956.92","4,956.92","","0.26%"
"01/11/2015","4,943.99","4,943.99","4,943.99","4,943.99","","-0.50%"
"01/08/2015","4,968.71","4,968.71","4,968.71","4,968.71","","0.10%"
"01/07/2015","4,963.66","4,963.66","4,963.66","4,963.66","","-0.12%"
"01/06/2015","4,969.67","4,969.67","4,969.67","4,969.67","","0.88%"
"01/05/2015","4,926.40","4,926.40","4,926.40","4,926.40","","-0.31%"
"01/01/2015","4,941.51","4,941.51","4,941.51","4,941.51","","1.57%"
"12/30/2014","4,864.96","4,864.96","4,864.96","4,864.96","","1.06%"
"12/29/2014","4,814.16","4,814.16","4,814.16","4,814.16","","0.27%"
"12/28/2014","4,801.34","4,801.34","4,801.34","4,801.34","","-0.46%"
"12/24/2014","4,823.57","4,823.57","4,823.57","4,823.57","","-0.31%"
"12/23/2014","4,838.63","4,838.63","4,838.63","4,838.63","","-0.61%"
"12/22/2014","4,868.47","4,868.47","4,868.47","4,868.47","","0.39%"
"12/21/2014","4,849.68","4,849.68","4,849.68","4,849.68","","-0.14%"
"12/18/2014","4,856.41","4,856.41","4,856.41","4,856.41","","0.38%"
"12/17/2014","4,837.92","4,837.92","4,837.92","4,837.92","","-0.83%"
"12/15/2014","4,878.65","4,878.65","4,878.65","4,878.65","","-0.29%"
"12/14/2014","4,892.95","4,892.95","4,892.95","4,892.95","","-0.81%"
"12/11/2014","4,933.03","4,933.03","4,933.03","4,933.03","","-0.22%"
"12/10/2014","4,943.72","4,943.72","4,943.72","4,943.72","","-0.01%"
"12/09/2014","4,944.03","4,944.03","4,944.03","4,944.03","","0.27%"
"12/08/2014","4,930.82","4,930.82","4,930.82","4,930.82","","0.01%"
"12/07/2014","4,930.37","4,930.37","4,930.37","4,930.37","","-0.63%"
"12/04/2014","4,961.84","4,961.84","4,961.84","4,961.84","","-0.60%"
"12/03/2014","4,992.00","4,992.00","4,992.00","4,992.00","","1.20%"
